Step,ppo_gemma2-2b_ultrafb_bin_vanilla - loss/policy,ppo_gemma2-2b_ultrafb_bin_par - loss/policy
1,0.000152361,5.90362E-05
2,-0.000355097,0.000359395
3,-1.54339E-05,7.05496E-05
4,8.01816E-05,0.000135419
5,-0.000705237,-0.000175734
6,-0.000480646,0.000458444
7,-5.64795E-05,0.000221854
8,0.000252346,0.000128393
9,-4.33425E-05,-0.000269092
10,0.000360374,0.000155123
11,0.000388553,0.000148277
12,0.000224807,0.000255433
13,-0.000962719,0.000156582
14,-9.43085E-05,-0.000372405
15,-9.73277E-06,0.000298404
16,0.000284589,8.06235E-05
17,-0.000168912,0.000463105
18,3.12751E-05,0.000332622
19,0.000499912,7.47878E-06
20,-0.000779552,0.000403781
21,5.78148E-05,0.000601772
22,-2.42905E-06,-0.000739107
23,-0.00047476,-6.35625E-05
24,0.000473996,-0.000859658
25,-0.000438954,-0.000489316
26,-0.000289935,0.000469292
27,-0.000400571,-0.000443967
28,0.00080764,-0.000443577
29,-0.000690228,0.000874694
30,-1.1183E-05,-0.000168499
31,0.000363617,0.000228827
32,-0.000816975,0.000288025
33,-0.000773664,0.000312568
34,-0.000257191,-0.000337797
35,-0.000644483,-0.000782232
36,-0.001037951,3.63829E-05
37,-0.000817468,-0.000259505
38,-0.001458783,0.00070778
39,-0.000109813,-0.000690848
40,0.000850314,-0.000287014
41,-5.34064E-05,-0.001353654
42,-0.000339026,-0.00016323
43,-0.000963326,-0.000395011
44,-5.66402E-05,-0.000329766
45,1.18912E-05,0.000265379
46,0.00025749,-0.00035237
47,-0.001163615,-0.000672187
48,0.000532645,0.000826327
49,-0.000621994,0.000122435
50,0.000597452,-0.000551604
51,-0.000689159,-0.000939821
52,-0.000356867,-0.000265974
53,3.98136E-05,-0.000271931
54,-0.00076435,0.000362062
55,-0.000563956,0.000540449
56,-8.28059E-06,0.0002415
57,0.000385476,-0.00050046
58,-0.000511848,9.63627E-05
59,-0.001047919,-0.000182979
60,-0.000298336,0.000562167
61,0.000281238,-0.000413493
62,-0.000591741,-0.000639587
63,-0.000603814,-0.000478305
64,-0.000161316,0.001085828
65,-0.000551098,-7.68834E-05
66,-1.89284E-05,4.09174E-05
67,-0.001198326,-0.000340075
68,-0.000167848,-0.000341112
69,-0.000556097,0.000427208
70,-0.000306196,0.000452036
71,-0.000709823,0.000414153
72,0.00013572,0.00084271
73,-0.000966391,0.000488767
74,0.000169036,8.3023E-05
75,-0.000112995,-0.000894757
76,-8.02336E-05,-0.000520974
77,-0.000432219,-0.000434033
78,-0.00046189,4.70705E-05
79,-0.000380622,-0.000175153
80,0.000101436,5.51288E-05
81,-0.000215611,-0.000111159
82,0.000662871,-0.000307962
83,-0.000758932,-0.000795827
84,-6.35073E-05,-0.000307047
85,0.00036838,-4.02331E-05
86,-0.00180672,0.00084961
87,-0.001076431,0.000108382
88,0.000974614,-0.00014408
89,-0.001468454,0.000233991
90,-0.000690569,-8.22951E-05
91,-2.19116E-05,0.000359773
92,-0.001216586,-0.000115126
93,-0.001142165,-0.000233562
94,0.000158568,-0.000203201
95,-0.001891596,-0.000659651
96,-3.25836E-05,-9.84869E-05
97,-0.000444388,-3.07921E-05
98,-0.000264806,-0.000692682
99,-0.000608383,-0.00104505
100,-3.26985E-05,0.000276085
101,-0.001188857,-0.000408273
102,-0.000514113,0.000418549
103,-6.85181E-05,-0.000307673
104,-0.0011746,-0.000375913
105,-0.000269031,0.000372345
106,-0.000845458,0.000259695
107,-0.001369715,0.000486635
108,0.000112468,-3.63698E-05
109,-2.97292E-05,-6.74586E-05
110,-0.000284039,-0.000216184
111,0.000518046,0.000448178
